filename,center_freq_hz,samp_rate,gain_db,condition,repeat
idle\cf80MHz_idle_r1.cfile,80000000,500000,49.6,idle,1
idle\cf80MHz_idle_r2.cfile,80000000,500000,49.6,idle,2
idle\cf80MHz_idle_r3.cfile,80000000,500000,49.6,idle,3
load\cf80MHz_load_r1.cfile,80000000,500000,49.6,load,1
load\cf80MHz_load_r2.cfile,80000000,500000,49.6,load,2
load\cf80MHz_load_r3.cfile,80000000,500000,49.6,load,3
idle\cf100MHz_idle_r1.cfile,100000000,500000,49.6,idle,1
idle\cf100MHz_idle_r2.cfile,100000000,500000,49.6,idle,2
idle\cf100MHz_idle_r3.cfile,100000000,500000,49.6,idle,3
load\cf100MHz_load_r1.cfile,100000000,500000,49.6,load,1
load\cf100MHz_load_r2.cfile,100000000,500000,49.6,load,2
load\cf100MHz_load_r3.cfile,100000000,500000,49.6,load,3
idle\cf120MHz_idle_r1.cfile,120000000,500000,49.6,idle,1
idle\cf120MHz_idle_r2.cfile,120000000,500000,49.6,idle,2
idle\cf120MHz_idle_r3.cfile,120000000,500000,49.6,idle,3
load\cf120MHz_load_r1.cfile,120000000,500000,49.6,load,1
load\cf120MHz_load_r2.cfile,120000000,500000,49.6,load,2
load\cf120MHz_load_r3.cfile,120000000,500000,49.6,load,3
idle\cf150MHz_idle_r1.cfile,150000000,500000,49.6,idle,1
idle\cf150MHz_idle_r2.cfile,150000000,500000,49.6,idle,2
idle\cf150MHz_idle_r3.cfile,150000000,500000,49.6,idle,3
load\cf150MHz_load_r1.cfile,150000000,500000,49.6,load,1
load\cf150MHz_load_r2.cfile,150000000,500000,49.6,load,2
load\cf150MHz_load_r3.cfile,150000000,500000,49.6,load,3
idle\cf200MHz_idle_r1.cfile,200000000,500000,49.6,idle,1
idle\cf200MHz_idle_r2.cfile,200000000,500000,49.6,idle,2
idle\cf200MHz_idle_r3.cfile,200000000,500000,49.6,idle,3
load\cf200MHz_load_r1.cfile,200000000,500000,49.6,load,1
load\cf200MHz_load_r2.cfile,200000000,500000,49.6,load,2
load\cf200MHz_load_r3.cfile,200000000,500000,49.6,load,3
